index,CMPD_CHEMBLID,exp,smiles
47,CHEMBL1096,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O
482,CHEMBL271939,2.4,Oc1ccc(cc1)C2CC(=O)c3ccc(O)cc3O2
2506,CHEMBL2024676,3.15,CN(C)C(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3ccc(Cl)c(Cl)c3)CC1
3480,CHEMBL1783246,3.8,CCCNC(=O)c1nnc2c(cccc2c1N)c3ccccc3
3003,CHEMBL376632,2.5,Cc1cc(nc(n1)n2ccnc2)N3CCC[C@@H]3C(=O)NCCc4ccc5OCOc5c4
3610,CHEMBL1419,3.6,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
3257,CHEMBL9967,-0.49,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1
2272,CHEMBL11334,2.63,CC(C)C(NC(=O)CN1C(=O)C(=CN=C1C(C)C)NC(=O)OCc2ccccc2)C(=O)C(F)(F)F
2948,CHEMBL2035033,2.0,NC1(CCC1)c2ccc(cc2)c3c(ccn4ccnc34)c5ccccc5
2441,CHEMBL1123,3.72,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
2192,CHEMBL513370,2.36,COc1ccc(N(C(C(=O)NC[C@@H](C)O)c2ccccc2F)C(=O)c3ccoc3Cl)c(OC)c1
326,CHEMBL1889452,2.11,CC1N(C(=O)c2ccccc2)c3ccccc3NC1=O
786,CHEMBL1650725,1.75,C[C@H](Nc1ncc(C)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3
2347,CHEMBL210884,2.26,COCCOc1nc(N)c2NC(=O)N(Cc3ccccc3)c2n1
3261,CHEMBL1946027,2.65,CCN(C)C(=O)c1ccc(cc1)C(=C2CCN(Cc3cscn3)CC2)c4cccc5cccnc45
2723,CHEMBL261237,3.3,N\C(=C(\C#N)/c1ccccc1C(F)(F)F)\Sc2ccc(N)cc2
3586,CHEMBL1762542,2.2,CN(c1ccnc(Nc2cc(cc(c2)C(=O)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C
4191,CHEMBL1835910,3.1,CCOC(=O)c1ccc(OCC2CN(C2)c3ccc(C)nn3)cc1
1452,CHEMBL48966,3.3,C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3
756,CHEMBL1399152,2.58,[O-][N+](=O)c1ccc2c(c1)nc3CCCCCn23
3062,CHEMBL1289465,2.7,Fc1ccc(C2CCN(CC2)C(=O)COCc3ccncc3)c(Cl)c1
411,CHEMBL1682836,3.1,CN1CCOc2cc(COC3CCCCC3)cnc12
1416,CHEMBL1566034,1.21,O=C(N1CC(=O)Nc2ccccc12)c3occc3
1247,CHEMBL2086687,3.0,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)C(=O)OCC(F)(F)F
4029,CHEMBL2325740,2.95,COCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4
2631,CHEMBL2036774,3.32,Clc1ccc(NC(=O)N2CCN(C[C@H]3CN(CCO3)C4CC4)CC2)cc1Cl
2562,CHEMBL1891338,3.7,COc1cccc(CNc2nc(NC(C)C)nc3ccsc23)c1OC
300,CHEMBL322271,1.92,Oc1ccc(CCNCCCS(=O)(=O)NCCOCCc2cccc(Cl)c2)c3sc(O)nc13
417,CHEMBL208487,2.74,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CC[C@@H](O)C4
2544,CHEMBL1180250,1.0,Oc1c2C(=O)N(NC(=O)c2nc3cc(Cl)ccc13)C(C4CC4)c5ccccn5
